"country","year","cost_healthy_diet_ppp_usd","data_quality","gdp","inflation","exchange_rate","agriculture_share","trade_share","population","urban_share","matched_wdi"
"Brazil",2017,3.15,"Estimated value",17724.47996,3.671384503,3.191389446,4.600591696,24.31973437,204703445,86.19828976,TRUE
"Brazil",2018,3.23,"Estimated value",17917.74921,4.493534328,3.653825361,4.420399304,28.87620338,206107261,86.44207199,TRUE
"Brazil",2019,3.39,"Estimated value",18018.62092,4.224258863,3.944471097,4.205014095,28.89025787,207455459,86.67979911,TRUE
"Brazil",2020,3.69,"Estimated value",17327.51572,6.472499623,5.155178788,5.711485115,32.30207854,208660842,86.91121865,TRUE
"Brazil",2021,3.97,"Estimated value",18075.706,13.04727086,5.39440079,6.558762612,37.65633076,209550294,87.13607817,TRUE
"Brazil",2022,4.39,"Estimated value",18554.04618,8.570281962,5.163970291,5.767474908,38.81606598,210306415,87.34955624,TRUE
"Brazil",2023,4.55,"Estimated value",19079.81221,5.159501074,4.994379763,6.023060235,33.66622983,211140729,87.61597102,TRUE
"Brazil",2024,4.69,"Estimated value",19652.3655,4.079674485,5.388934906,5.752276409,35.58452394,211998573,87.89585495,TRUE
"Colombia",2017,2.84,"Estimated value",16986.03342,5.1337359,2951.486911,6.389663553,35.28291494,48131078,77.22451917,TRUE
"Colombia",2018,2.87,"Estimated value",17104.13135,4.630579673,2955.70397,6.22570969,36.5347528,49024465,77.28048166,TRUE
"Colombia",2019,2.95,"Estimated value",17336.7716,4.002620543,3281.622194,6.410720822,37.55853398,49907985,77.45955285,TRUE
"Colombia",2020,3.15,"Estimated value",15861.49993,1.48172462,3693.275833,7.508480467,34.05557097,50629997,77.63825335,TRUE
"Colombia",2021,3.3,"Estimated value",17383.09017,7.802113095,3744.244167,7.771873014,40.05914639,51188173,77.83395703,TRUE
"Colombia",2022,4.06,"Estimated value",18458.72095,14.92503668,4256.194167,8.831544737,48.28265511,51737944,78.04646331,TRUE
"Colombia",2023,4.69,"Estimated value",18406.62423,6.992906539,4325.955,8.795866935,40.13331653,52321152,78.27557158,TRUE
"Colombia",2024,4.67,"Estimated value",18481.83749,6.357571171,4074.434167,9.495679723,36.31799388,52886363,78.52108119,TRUE
